n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,0.00010019242027367145,0.9358031069896965,0.0074894441949722515,0.0022876623836017313,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
17,9.722431658534925e-05,0.9378754199243329,0.007338916194007378,0.002241496620493963,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
16,9.359845694194155e-05,0.9399305722934125,0.007277501101351379,0.0022232289221355795,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
15,9.223714643302908e-05,0.9405415831507955,0.007192037270408134,0.0021967276033839993,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PinAIR,PoutAIR,PoutH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
14,9.083401582810321e-05,0.9418913391289518,0.007064035586375315,0.0021576097460486755,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
13,9.26285585641071e-05,0.9403251808726306,0.007182570125876217,0.0021942508224757147,"J,I,TinH2,ToutH2,TinAIR,TinWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
12,9.149250219544582e-05,0.9410139573593586,0.007177144100690041,0.0021925021463591555,"J,I,TinH2,ToutH2,TinAIR,TinWAT,PinAIR,PoutAIR,DinAIR,DoutAIR,DWAT,HrAIRFC"
11,8.512655834010543e-05,0.9451933940129539,0.006858048256783472,0.0020956044227917565,"J,I,TinH2,ToutH2,TinWAT,PinAIR,PoutAIR,DinAIR,DoutAIR,DWAT,HrAIRFC"
10,8.420836352480232e-05,0.9457670187311763,0.006806387207560695,0.002079125680699686,"J,I,TinH2,ToutH2,TinWAT,PinAIR,PoutAIR,DoutAIR,DWAT,HrAIRFC"
9,8.007298003221718e-05,0.9484039844803107,0.0065111250129207595,0.00198936043656634,"J,I,TinH2,ToutH2,TinWAT,PoutAIR,DoutAIR,DWAT,HrAIRFC"
8,8.26435426780122e-05,0.9470180655018856,0.006583120458156125,0.002011277862364859,"J,I,TinH2,ToutH2,TinWAT,PoutAIR,DoutAIR,DWAT"
7,7.720732158073237e-05,0.95039841417344,0.00639546725255193,0.0019527672898936982,"J,I,TinH2,ToutH2,TinWAT,DoutAIR,DWAT"
6,7.808303338618106e-05,0.9499436168877058,0.00643791543490832,0.001965864691938228,"J,I,TinH2,TinWAT,DoutAIR,DWAT"
5,8.023416167468334e-05,0.9484332092737431,0.0066052128679242525,0.0020173593001162416,"I,TinH2,TinWAT,DoutAIR,DWAT"
4,8.445161316179787e-05,0.9453082521481626,0.006509071280763329,0.0019885686401532065,"I,TinH2,DoutAIR,DWAT"
3,0.00010476560366438873,0.9323429004751549,0.007336644418404201,0.0022429450350131453,"I,TinH2,DoutAIR"
2,0.00012531962007051044,0.9183716711512074,0.007704754465537577,0.00235440090104894,"I,DoutAIR"
1,0.00019769479904889502,0.8716529389952029,0.01071292497804886,0.00327556580722189,DoutAIR
