n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,6.138664969093622e-05,0.9596120728530753,0.005557801425505432,0.0016997165119018152,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
17,6.059485213491698e-05,0.9600384514166562,0.005561781157059466,0.0017009420883507432,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
16,5.832023533462366e-05,0.9617761391780458,0.005516334850022696,0.0016868117362678014,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
15,6.210045507915385e-05,0.959046897541173,0.0056146433787243235,0.001716823695484649,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
14,6.211054762662776e-05,0.9593271984052041,0.0055955853408460095,0.0017110449308888852,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
13,6.231523094990962e-05,0.9588771622718231,0.0055902726783729,0.0017091373817459618,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
12,6.493650664404112e-05,0.957095312564299,0.005682737677743819,0.001737026535394225,"J (A/cm²),TinH2 (°C),ToutH2 (°C),ToutAIR (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
11,6.476668110576682e-05,0.9573479835976876,0.005684560578439461,0.0017373463720695777,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
10,6.242934248717142e-05,0.9590698118225323,0.005511692507491619,0.0016848446954660667,"J (A/cm²),TinH2 (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
9,6.858689175713166e-05,0.9550122685904876,0.0058125990663956345,0.0017763267071248038,"J (A/cm²),TinH2 (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
8,6.786612762252079e-05,0.9556252714387403,0.005850066155464354,0.0017884929018752243,"J (A/cm²),TinH2 (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn)"
7,6.89827830752484e-05,0.9550273313829098,0.006038800818706101,0.0018461781487248345,"J (A/cm²),TinH2 (°C),TinWAT (°C),PinAIR (mbara),PoutAIR (mbara),DoutAIR (l/mn),DWAT (l/mn)"
6,7.637611246495936e-05,0.9502634794061964,0.0061092042044664716,0.0018686054681604045,"J (A/cm²),TinH2 (°C),PinAIR (mbara),PoutAIR (mbara),DoutAIR (l/mn),DWAT (l/mn)"
5,8.897624852098409e-05,0.9416984099059305,0.006324366382569324,0.0019327639412715781,"J (A/cm²),TinH2 (°C),PoutAIR (mbara),DoutAIR (l/mn),DWAT (l/mn)"
4,9.506878013984356e-05,0.9377853447701419,0.00654087269788053,0.0019988619657079288,"J (A/cm²),TinH2 (°C),DoutAIR (l/mn),DWAT (l/mn)"
3,0.00011175713469522476,0.9270398082378387,0.00672096680878966,0.002052885595384429,"J (A/cm²),DoutAIR (l/mn),DWAT (l/mn)"
2,0.00013590178848438416,0.9117998617793134,0.007701738467178991,0.002353460512337621,"J (A/cm²),DoutAIR (l/mn)"
1,0.00019919888116204493,0.8704478500847914,0.010528428718367682,0.0032192148672136834,DoutAIR (l/mn)
