n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,5.845809372728586e-05,0.9612024113790298,0.004340743871965287,0.0013280400009693526,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
17,5.887930344635599e-05,0.9608441915166791,0.004345457553733644,0.0013294040583574378,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
16,5.88258479181379e-05,0.9609050761332941,0.004350966158785285,0.0013311139397585016,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
15,5.7273004232682434e-05,0.9619603256740415,0.004298735415416808,0.0013151884296798936,"J,I,TinH2,ToutH2,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
14,5.8734049896653944e-05,0.960977432529727,0.004351292362815161,0.001331320341606923,"J,I,TinH2,ToutH2,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
13,5.8375804369744215e-05,0.9612556758234259,0.004358251177676992,0.0013333868198280492,"J,I,TinH2,ToutH2,TinWAT,ToutWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
12,5.9096054914134056e-05,0.9607514834962732,0.004325725232426174,0.0013236363640499163,"J,I,TinH2,ToutH2,TinWAT,ToutWAT,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
11,5.896342160009087e-05,0.9610004631891643,0.004385523662217599,0.001341614259498536,"J,I,TinH2,ToutH2,TinWAT,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
10,5.754718157585496e-05,0.9619657874945192,0.004311360288680619,0.001318876620422189,"J,I,TinH2,ToutH2,TinWAT,PoutAIR,DoutH2,DoutAIR,DWAT,HrAIRFC"
9,5.931681010398389e-05,0.9608555635378329,0.004419863224157114,0.0013520488908884058,"J,I,TinH2,ToutH2,TinWAT,PoutAIR,DoutH2,DoutAIR,DWAT"
8,6.52686684891163e-05,0.9571994501831647,0.004669985107532735,0.001428307146947499,"J,I,TinH2,ToutH2,TinWAT,PoutAIR,DoutAIR,DWAT"
7,6.88480472747028e-05,0.9549307195121891,0.0047074370542648835,0.0014399369477772707,"J,I,TinH2,TinWAT,PoutAIR,DoutAIR,DWAT"
6,8.268812189897448e-05,0.9464798394130834,0.005554803199702016,0.0016982725167203488,"J,I,TinH2,TinWAT,PoutAIR,DoutAIR"
5,9.379739663031538e-05,0.9391813876231556,0.0058725448669805684,0.0017950148436727622,"J,I,TinWAT,PoutAIR,DoutAIR"
4,9.752519188765905e-05,0.9367291466678938,0.006044675802268277,0.0018471462996033285,"J,I,TinWAT,DoutAIR"
3,9.709462484057624e-05,0.9371321796699332,0.006041085559239183,0.0018461223358507701,"I,TinWAT,DoutAIR"
2,0.00012981757403855677,0.9161776075710806,0.006898682879222797,0.002108459881482072,"I,DoutAIR"
1,0.00023492653777641036,0.8474122996921933,0.01091428734838347,0.003337722100222941,DoutAIR
