n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,0.00013345826788427133,0.9144549073529233,0.00851905395129496,0.0026019963490127133,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
17,0.00013383475543714314,0.9138436798304126,0.008525271156892453,0.0026035017780537675,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
16,0.0001338365444323043,0.9137221597890731,0.008562682445522154,0.002614862632045887,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
15,0.00013385214574116456,0.9136686643267614,0.008520931140558154,0.0026019445965945517,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PinAIR,PoutAIR,PinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
14,0.0001346279444649723,0.9132312613237227,0.008537188549155292,0.002607363225591594,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PinAIR,PoutAIR,PinH2,DoutH2,DinAIR,DoutAIR,DWAT"
13,0.00013699543049408415,0.9118396309589512,0.008659062632444144,0.00264478764441102,"J,I,TinH2,ToutH2,ToutAIR,TinWAT,PinAIR,PoutAIR,PinH2,DoutH2,DinAIR,DoutAIR,DWAT"
12,0.00013112641035197632,0.9156491814524689,0.008390961317687236,0.002562292807084605,"J,I,TinH2,ToutH2,ToutAIR,TinWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT"
11,0.00013166600585948473,0.9151617364989587,0.008484847956277545,0.002591542175489289,"J,I,TinH2,ToutH2,TinWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT"
10,0.00013585323815443876,0.9125894836219091,0.008660796369231552,0.0026454276516579846,"J,I,TinH2,ToutH2,TinWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR"
9,0.00013705871479068835,0.9116137847769636,0.008695371955744205,0.002656319041802315,"J,I,TinH2,ToutH2,TinWAT,PinAIR,PoutAIR,DinAIR,DoutAIR"
8,0.00014018715092416363,0.9099745798037061,0.008872623336379662,0.0027111429044052522,"J,I,TinH2,TinWAT,PinAIR,PoutAIR,DinAIR,DoutAIR"
7,0.000137022865449207,0.911316187235338,0.008695842197660213,0.002656504064460168,"J,I,TinH2,PinAIR,PoutAIR,DinAIR,DoutAIR"
6,0.00015096615695135094,0.902773709791664,0.009046498158197134,0.002763662676991414,"J,I,TinH2,PoutAIR,DinAIR,DoutAIR"
5,0.00014940198712063864,0.9036923143620419,0.008768851385537482,0.002678276984128772,"J,I,TinH2,PoutAIR,DoutAIR"
4,0.00015753192675503798,0.8983859978488212,0.009239020944570166,0.002821884894937155,"J,I,TinH2,DoutAIR"
3,0.00019811158403785587,0.8728851935386679,0.01067490733426511,0.0032617370790424967,"J,I,DoutAIR"
2,0.000187227247529305,0.8796122242268654,0.010074359902027527,0.0030767627194606155,"I,DoutAIR"
1,0.00019907364213600103,0.871078620943134,0.010716003779155159,0.0032749650634716202,DoutAIR
