J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC,Utot
0.70160055,70.16005,26.785633,40.426735,42.162716,51.623116,53.75983,55.427727,1300.4642,1268.0973,1302.072,1288.9467,4.796906,2.1281846,23.037397,21.382776,2.0368752,49.471138,3.3319807
0.7016048,70.16048,26.733898,40.49855,42.17857,51.62511,53.771927,55.429188,1300.5834,1268.116,1301.9954,1288.9697,4.7971187,2.1290214,23.037365,21.385454,2.0388439,49.498886,3.3361995
0.70160866,70.16086,26.68909,40.56239,42.193336,51.626747,53.782936,55.43043,1300.6863,1268.1288,1301.9282,1288.993,4.7973275,2.1296308,23.037333,21.38794,2.0406637,49.526466,3.3400156
0.70161206,70.16121,26.651209,40.61825,42.207016,51.62802,53.79286,55.431454,1300.7731,1268.136,1301.8708,1289.0168,4.7975335,2.1300125,23.0373,21.390232,2.0423348,49.553875,3.343429
0.7016151,70.16151,26.620255,40.66614,42.219612,51.628937,53.801693,55.43226,1300.8438,1268.1373,1301.8232,1289.0409,4.797735,2.1301668,23.037266,21.392334,2.0438573,49.58112,3.3464398
0.7016177,70.16177,26.596224,40.70605,42.231125,51.629494,53.809444,55.43284,1300.8983,1268.1329,1301.7853,1289.0654,4.797934,2.1300936,23.037231,21.394241,2.045231,49.608192,3.349048
0.7016199,70.16199,26.579123,40.737988,42.24155,51.629692,53.816105,55.433197,1300.9366,1268.1228,1301.7571,1289.0902,4.798129,2.1297927,23.037197,21.395958,2.046456,49.6351,3.3512535
0.7016217,70.16217,26.568945,40.76195,42.250893,51.629528,53.82168,55.43334,1300.959,1268.1068,1301.7385,1289.1152,4.7983203,2.1292644,23.037163,21.397484,2.0475326,49.66184,3.3530562
0.70162314,70.16231,26.565695,40.777935,42.25915,51.629005,53.826168,55.433254,1300.9651,1268.0852,1301.7296,1289.1407,4.798508,2.1285086,23.037127,21.398815,2.0484602,49.688408,3.3544564
0.7016241,70.16241,26.56937,40.785946,42.266323,51.628124,53.829567,55.432953,1300.9551,1268.0577,1301.7305,1289.1666,4.7986927,2.127525,23.03709,21.399956,2.0492392,49.71481,3.355454
0.7016247,70.16247,26.579971,40.78598,42.27241,51.62688,53.831882,55.43243,1300.929,1268.0245,1301.7411,1289.1927,4.798874,2.1263142,23.037054,21.400904,2.0498693,49.74104,3.3560488
